Radiation,Cost
0,0
0,0
0,0
0,0
0,0
133.15,21.67228
343.67,8.396613
541.2,5.331973
688.33,4.192268
769.98,3.747713
780.8,3.695778
721,4.002308
594.42,4.854587
414.05,6.969361
197.77,14.59101
18.12,159.253
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
152.58,18.91246
363.05,7.948392
557.05,5.18026
701.08,4.116026
770.45,3.745426
777.92,3.709461
715.73,4.031777
586.7,4.918466
405.3,7.119822
191.2,15.09238
17.6,163.9582
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.35,663.371
130.4,22.12932
345.6,8.349722
538.77,5.356022
682.5,4.228079
757.85,3.807698
764,3.777047
699.02,4.128156
570.98,5.053879
390.23,7.394777
181.1,15.93409
16.8,171.7657
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.75,607.5082
134.02,21.53159
352.6,8.183959
548.6,5.260051
695.25,4.150541
771.23,3.741638
782.67,3.686948
722.25,3.995381
594.73,4.852057
412.62,6.993514
197.23,14.63096
19.45,148.3632
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.45,529.4796
143.95,20.04629
365,7.905928
560.3,5.150212
706.12,4.086648
778.02,3.708984
788.33,3.660477
725.73,3.976222
596.62,4.836686
412.52,6.99521
196.2,14.70777
19.58,147.3781
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.2,554.9354
132.75,21.73758
342.75,8.419151
531.27,5.431633
670.73,4.302273
747.5,3.86042
757.65,3.808703
696,4.146069
570.42,5.058841
392.25,7.356696
185.23,15.57881
18.85,153.0856
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.23,551.7522
122.85,23.48933
326.85,8.82871
516.7,5.584796
659.85,4.373212
756.38,3.815098
768.02,3.757277
708.42,4.07338
582.73,4.951974
404.3,7.137432
194.6,14.82869
20.55,140.4216
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6.2,465.4297
139.48,20.68873
351.35,8.213075
541.83,5.325773
683.73,4.220473
758.2,3.80594
768.08,3.756983
708.77,4.071368
585.45,4.928967
409.5,7.046798
202.3,14.26428
23.38,123.4245
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6.67,432.6333
139.08,20.74823
347.15,8.312441
534.77,5.396084
674.77,4.276515
745.02,3.87327
751.7,3.83885
689.7,4.183941
564.65,5.110535
387.5,7.446874
183.58,15.71884
